CODE;TITLE;COUNTRY_CODE
EAGH;Emmi AG;CH
EFIN;Emmi Finanz AG;CH
EMMA;Emmi Management AG;CH
ESAG;Emmi Schweiz AG;CH
EFON;Emmi Fondue AG;CH
EIAG;Emmi International AG;CH
EMPK;Emmi Vorsorgestiftung;CH
LESA;Lesa Lataria Engiadinaisa SA;CH
MIMO;Mittellland Molkerei AG;CH
MOBI;Molkerei Biedermann AG;CH
SHAG;Käserei Studer AG;CH
RMBB;Regio Molkerei beider Basel AG;CH
FSAM;Fromco S.A. Moudon;CH
FDSL;FDS Fromagerie de Saignelégier SA;CH
BAKA;Baumann Käse AG;CH
EAUT;Emmi Österreich GmbH;AT
LEEB;Leeb Biomilch GmbH;AT
EGBR;Emmi UK Limited;GB
EDEU;Emmi Deutschland GmbH;DE
GMED;Gläserne Molkerei GmbH;DE
EDIT;Emmi Dessert Italia S.p.A.;IT
PAQU;Pasticceria Quadrifoglio Srl;IT
ENED;Emmi Benelux B.V.;NL
AVNL;AVH dairy trade B.V.;NL
BEBV;Bettinehoeve B.V.;NL
KCAL;Kaiku Corporación Alimentaria, S.L.;ES
LPAI;Laticínios Porto Alegre Indústria e Comércio S/A;BR
QINC;9314-8591 Québec Inc;CA
SCMC;Switzerland Cheese Marketing CAN Inc;CA
QUSU;QUILLAYES SURLAT SpA;CL
EAFR;SAS Emmi Ambrosi France E.A.F.;FR
ERUS;Emmi Roth USA, Inc.;US
CGCA;Cypress Grove Chevre, Inc.;US
RHFC;Redwood Hill Farm & Creamery, Inc.;US
TBFI;Tomales Bay Foods, Inc.;US
JMIN;JACKSON-MITCHELL, INC.;US
EDUS;Emmi Dessert USA LLC;US
MHSA;Mexideli 2000 Holding S.A. de CV;MX
CLTN;Centrale Laitière de Mahdia, S.A.;TN
